2024-03-26 14:38:08  | INFO  | LogAux - ============== REQUEST ==============
2024-03-26 14:38:08  | INFO  | LogAux - PATH PARAMS: {}
2024-03-26 14:38:08  | INFO  | LogAux - HEADERS: [Accept=*/*,Accept-Encoding=gzip,deflate,Connection=Keep-Alive,Content-Length=241,Content-Type=application/json,Host=localhost:8086,User-Agent=Apache-HttpClient/4.5.14 (Java/17.0.10)]
2024-03-26 14:38:08  | INFO  | LogAux - METHOD: POST
2024-03-26 14:38:08  | INFO  | LogAux - BODY: {"devicee":{"bankId":"00001","branchId":"0002","code":"1234","terminalId":"1234567890","opTimestamp":1705499660669,"channel":"ATM","peripherals":[{"id":"PRINTER","name":"PRINTER","status":"OK"}]},"data":{"var1":"test"},"fiscalCode":"BBTFNC"}
2024-03-26 14:38:08  | INFO  | LogAux - ============== REQUEST ==============
2024-03-26 14:38:08  | INFO  | LogAux - ============== RESPONSE ==============
2024-03-26 14:38:08  | INFO  | LogAux - STATUS: 400
2024-03-26 14:38:08  | INFO  | LogAux - BODY: {"errorCode":"MALFORMED_REQUEST","description":"Request not valid - Device non può essere null","status":400}
2024-03-26 14:38:08  | INFO  | LogAux - ============== RESPONSE ==============
2024-03-26 14:38:08  | INFO  | LogAux - ============== REQUEST ==============
2024-03-26 14:38:08  | INFO  | LogAux - PATH PARAMS: {transactionId=[00001-0002-1234-1234567890-aaaaaaaaaaaaa]}
2024-03-26 14:38:08  | INFO  | LogAux - HEADERS: [Accept=*/*,Accept-Encoding=gzip,deflate,Connection=Keep-Alive,Content-Length=241,Content-Type=application/json,Host=localhost:8086,User-Agent=Apache-HttpClient/4.5.14 (Java/17.0.10)]
2024-03-26 14:38:08  | INFO  | LogAux - METHOD: POST
2024-03-26 14:38:08  | INFO  | LogAux - BODY: {"devicee":{"bankId":"00001","branchId":"0002","code":"1234","terminalId":"1234567890","opTimestamp":1705499660669,"channel":"ATM","peripherals":[{"id":"PRINTER","name":"PRINTER","status":"OK"}]},"data":{"var1":"test"},"fiscalCode":"BBTFNC"}
2024-03-26 14:38:08  | INFO  | LogAux - ============== REQUEST ==============
2024-03-26 14:38:08  | INFO  | LogAux - ============== RESPONSE ==============
2024-03-26 14:38:08  | INFO  | LogAux - STATUS: 400
2024-03-26 14:38:08  | INFO  | LogAux - BODY: {"errorCode":"MALFORMED_REQUEST","description":"Request not valid - Device non può essere null","status":400}
2024-03-26 14:38:08  | INFO  | LogAux - ============== RESPONSE ==============
2024-03-26 14:38:08 00001-0002-1234-1234567890-aaaaaaaaaaaaa | INFO  | LogAux - ============== REQUEST ==============
2024-03-26 14:38:08 00001-0002-1234-1234567890-aaaaaaaaaaaaa | INFO  | LogAux - PATH PARAMS: {transactionId=[00001-0002-1234-1234567890-aaaaaaaaaaaaa]}
2024-03-26 14:38:08 00001-0002-1234-1234567890-aaaaaaaaaaaaa | INFO  | LogAux - HEADERS: [Accept=*/*,Accept-Encoding=gzip,deflate,Connection=Keep-Alive,Content-Length=231,Content-Type=application/json,Host=localhost:8086,User-Agent=Apache-HttpClient/4.5.14 (Java/17.0.10)]
2024-03-26 14:38:08 00001-0002-1234-1234567890-aaaaaaaaaaaaa | INFO  | LogAux - METHOD: POST
2024-03-26 14:38:08 00001-0002-1234-1234567890-aaaaaaaaaaaaa | INFO  | LogAux - BODY: {"device":{"bankId":"00001","branchId":"0002","code":"1234","terminalId":"1234567890","opTimestamp":1711463888746,"channel":"ATM","peripherals":[{"id":"PRINTER","name":"PRINTER","status":"OK"}]},"taskId":"1","data":{"var1":"test"}}
2024-03-26 14:38:08 00001-0002-1234-1234567890-aaaaaaaaaaaaa | INFO  | LogAux - ============== REQUEST ==============
2024-03-26 14:38:08 00001-0002-1234-1234567890-aaaaaaaaaaaaa | INFO  | LogAux - ============== RESPONSE ==============
